Con Vendedor;Tipo canal;Activo;Fecha Vinculación;Fecha retiro;SUCURSAL FINAL;Oficina;Segmentacion;caracteristicas;Estado;Año_Vinculacion;Mes_Vinculacion;Tiempo_Compañia;;
3756;Minorista;0;28/03/2007;28/03/2007;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
3755;Minorista;0;5/05/2005;5/05/2005;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;5;0,0;;
3753;Minorista;0;5/05/2005;5/05/2005;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;5;0,0;;
3752;Minorista;0;28/03/2007;28/03/2007;GUAJIRA;20010;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
3751;Minorista;0;7/10/2006;7/10/2006;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;10;0,0;;
3750;Mayorista;0;25/04/2007;25/04/2007;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;4;0,0;;
3745;Minorista;0;28/03/2007;28/03/2007;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
3743;Minorista;0;27/11/2006;27/11/2006;QUINDIO;20001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;11;0,0;;
3740;Minorista;0;28/07/2003;28/07/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3736;Minorista;0;9/11/2012;9/11/2012;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
3735;Minorista;0;9/05/2003;9/05/2003;BOYACA;20011;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;5;0,0;;
3730;Minorista;0;27/05/2004;27/05/2004;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;5;0,0;;
3727;Minorista;0;22/07/2003;22/07/2003;ARAUCA;30001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3725;Minorista;0;26/05/2003;26/05/2003;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;5;0,0;;
3723;Minorista;0;24/01/2003;24/01/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;1;0,0;;
3719;Minorista;0;3/05/2004;3/05/2004;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;5;0,0;;
3718;Minorista;0;3/09/2004;3/09/2004;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;9;0,0;;
3717;Minorista;0;31/10/2002;31/10/2002;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;10;0,0;;
3712;Minorista;0;5/06/2005;5/06/2005;CAUCA;20009;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;6;0,0;;
3711;Minorista;0;9/10/2003;9/10/2003;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;10;0,0;;
3710;Minorista;0;25/03/2003;25/03/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;3;0,0;;
3709;Minorista;0;7/02/2002;7/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3707;Minorista;0;30/09/2002;30/09/2002;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;9;0,0;;
3704;Minorista;0;5/05/2005;5/05/2005;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;5;0,0;;
3702;Minorista;0;28/07/2003;28/07/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3699;Minorista;0;30/08/2002;30/08/2002;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;8;0,0;;
3697;Minorista;0;3/05/2004;3/05/2004;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;5;0,0;;
3696;Minorista;0;13/02/2002;13/02/2002;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3695;Minorista;0;28/07/2003;28/07/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3693;Minorista;0;15/05/2002;15/05/2002;CAUCA;20009;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;5;0,0;;
3692;Mayorista;0;28/07/2003;28/07/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3691;Minorista;0;24/07/2002;24/07/2002;ARAUCA;30001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;7;0,0;;
3690;Minorista;0;7/12/2006;7/12/2006;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;12;0,0;;
3689;Minorista;0;10/06/2004;10/06/2004;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;6;0,0;;
3687;Minorista;0;7/02/2002;7/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3686;Minorista;0;24/12/2001;24/12/2001;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3683;Minorista;0;17/01/2002;17/01/2002;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;1;0,0;;
3682;Minorista;0;16/11/2001;16/11/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3680;Minorista;0;9/12/2001;9/12/2001;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3678;Minorista;0;22/11/2005;22/11/2005;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;11;0,0;;
3677;Minorista;0;29/10/2012;29/10/2012;NORTE DE SANTANDER;20003;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;10;0,0;;
3674;Minorista;0;27/07/2001;27/07/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;7;0,0;;
3670;Minorista;0;26/12/2001;26/12/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3668;Minorista;0;31/08/2001;31/08/2001;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;8;0,0;;
3667;Minorista;0;24/04/2008;24/04/2008;TOLIMA;20004;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2008;4;0,0;;
3666;Minorista;0;21/08/2002;21/08/2002;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;8;0,0;;
3663;Minorista;0;1/02/2002;1/02/2002;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3661;Minorista;0;7/11/2001;7/11/2001;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3659;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3658;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3657;Minorista;0;28/12/2001;28/12/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3656;Minorista;0;30/09/2002;30/09/2002;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;9;0,0;;
3655;Minorista;0;30/09/2002;30/09/2002;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;9;0,0;;
3654;Minorista;0;28/12/2001;28/12/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3653;Mayorista;0;3/05/2004;3/05/2004;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;5;0,0;;
3651;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3649;Minorista;0;9/11/2007;9/11/2007;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;11;0,0;;
3648;Mayorista;0;7/12/2001;7/12/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3647;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3645;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3644;Minorista;0;14/05/2001;14/05/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;5;0,0;;
3643;Mayorista;0;13/06/2001;13/06/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3640;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3639;Minorista;0;26/12/2001;26/12/2001;CAQUETA;30002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3637;Minorista;0;7/11/2001;7/11/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;11;0,0;;
3636;Minorista;0;24/07/2001;24/07/2001;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;7;0,0;;
3635;Minorista;0;14/05/2001;14/05/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;5;0,0;;
3633;Minorista;0;24/01/2013;24/01/2013;HUILA;20007;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2013;1;0,0;;
3632;Minorista;0;14/05/2001;14/05/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;5;0,0;;
3631;Minorista;0;24/07/2001;24/07/2001;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;7;0,0;;
3628;Minorista;0;13/06/2001;13/06/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3627;Minorista;0;28/12/2001;28/12/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;12;0,0;;
3626;Minorista;0;13/06/2001;13/06/2001;BOLIVAR;20002;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3625;Minorista;0;28/07/2003;28/07/2003;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3623;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3622;Minorista;0;22/05/2001;22/05/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;5;0,0;;
3621;Minorista;0;26/02/2001;26/02/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3619;Minorista;0;9/11/2002;9/11/2002;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;11;0,0;;
3617;Minorista;0;25/04/2001;25/04/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
3614;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3613;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3612;Minorista;0;9/11/2002;9/11/2002;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;11;0,0;;
3611;Minorista;0;18/09/2002;18/09/2002;CAUCA;20009;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;9;0,0;;
3608;Minorista;0;17/04/2001;17/04/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
3607;Mayorista;0;28/07/2003;28/07/2003;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;7;0,0;;
3603;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3602;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3601;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3600;Minorista;0;15/12/2000;15/12/2000;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3599;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3598;Minorista;0;19/01/2001;19/01/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3596;Minorista;0;17/04/2001;17/04/2001;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
3595;Minorista;0;13/06/2001;13/06/2001;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3594;Minorista;0;27/01/2004;27/01/2004;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;1;0,0;;
3593;Minorista;0;18/12/2012;18/12/2012;CESAR;20012;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;12;0,0;;
3592;Minorista;0;26/02/2001;26/02/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3591;Minorista;0;23/02/2001;23/02/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3590;Minorista;0;25/10/2005;25/10/2005;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;10;0,0;;
3589;Minorista;0;20/06/2001;20/06/2001;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3586;Mayorista;0;26/02/2001;26/02/2001;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3585;Mayorista;0;12/08/2005;12/08/2005;CORDOBA;20006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2005;8;0,0;;
3584;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3583;Minorista;0;17/04/2001;17/04/2001;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
3582;Minorista;0;13/02/2002;13/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3581;Minorista;0;2/11/2003;2/11/2003;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;11;0,0;;
3579;Minorista;0;15/11/2000;15/11/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
3578;Minorista;0;19/01/2001;19/01/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3576;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3575;Minorista;0;9/11/2012;9/11/2012;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
3574;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3572;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3571;Minorista;0;21/08/2002;21/08/2002;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;8;0,0;;
3569;Minorista;0;30/03/2001;30/03/2001;TOLIMA;20004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
3558;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3557;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3556;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3555;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3554;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3553;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3552;Minorista;0;28/12/2000;28/12/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3550;Mayorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3549;Minorista;0;16/02/2001;16/02/2001;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3548;Mayorista;0;15/02/2001;15/02/2001;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3547;Minorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3544;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3543;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3542;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3541;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3540;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3539;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3538;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3537;Minorista;0;28/12/2000;28/12/2000;VALLE;10004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3535;Minorista;0;20/06/2001;20/06/2001;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;6;0,0;;
3533;Minorista;0;2/11/2003;2/11/2003;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;11;0,0;;
3531;Minorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3530;Minorista;0;25/09/2000;25/09/2000;QUINDIO;20001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;9;0,0;;
3529;Minorista;0;28/03/2007;28/03/2007;MAGDALENA;30005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2007;3;0,0;;
3528;Minorista;0;20/03/2001;20/03/2001;MAGDALENA;30005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
3527;Minorista;0;27/02/2001;27/02/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3526;Minorista;0;17/04/2001;17/04/2001;ATLANTICO;10005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;4;0,0;;
3525;Minorista;0;27/09/2001;27/09/2001;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;9;0,0;;
3524;Minorista;0;21/09/2000;21/09/2000;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;9;0,0;;
3523;Minorista;0;26/02/2001;26/02/2001;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3522;Minorista;0;15/12/2000;15/12/2000;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3521;Minorista;0;15/12/2000;15/12/2000;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3519;Minorista;0;30/11/2000;30/11/2000;ANTIOQUIA;10003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;11;0,0;;
3518;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3516;Minorista;0;15/12/2000;15/12/2000;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2000;12;0,0;;
3515;Mayorista;0;2/09/2004;2/09/2004;SANTANDER;10006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2004;9;0,0;;
3513;Minorista;0;22/02/2001;22/02/2001;PUTUMAYO;30003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3512;Minorista;0;9/11/2012;9/11/2012;SANTANDER;10006;Deserción Tipo IV;Minorista, vinculación 2008-2016, no es casa matriz;Inactivo;2012;11;0,0;;
3511;Minorista;0;29/10/2001;29/10/2001;BOYACA;20011;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;10;0,0;;
3510;Mayorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3509;Minorista;0;26/02/2001;26/02/2001;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3508;Minorista;0;26/02/2001;26/02/2001;HUILA;20007;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3506;Mayorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3505;Minorista;0;18/05/2001;18/05/2001;SUCRE;30006;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;5;0,0;;
3504;Minorista;0;9/10/2003;9/10/2003;NARIÑO;30004;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2003;10;0,0;;
3503;Minorista;0;27/03/2001;27/03/2001;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
3502;Minorista;0;27/03/2001;27/03/2001;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
3501;Minorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3500;Minorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3499;Minorista;0;30/01/2001;30/01/2001;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3498;Supermayorista;0;16/02/2001;16/02/2001;NORTE DE SANTANDER;20003;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3497;Minorista;0;7/02/2002;7/02/2002;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2002;2;0,0;;
3496;Mayorista;0;23/03/2001;23/03/2001;CESAR;20012;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
3495;Mayorista;0;30/01/2001;30/01/2001;RISARALDA;20008;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3494;Minorista;0;21/02/2001;21/02/2001;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;2;0,0;;
3491;Mayorista;0;24/01/2001;24/01/2001;BOGOTA CUNDINAMARCA;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;1;0,0;;
3490;Minorista;0;7/10/2006;7/10/2006;CALDAS;20005;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2006;10;0,0;;
3489;Minorista;0;27/03/2001;27/03/2001;CASA MATRIZ;10001;Deserción tipo III;Fecha vinculación inferior o igual a 2007;Inactivo;2001;3;0,0;;
